sku,name,price,weight_kg,in_stock
SKU-0325,seat,114.25,22.601,False
SKU-0326,fall,852.91,19.517,True
SKU-0327,interest,477.95,15.983,False
SKU-0328,budget,958.96,19.124,True
SKU-0329,full,455.84,19.387,True
SKU-0330,throw,935.07,16.879,False
SKU-0331,ten,170.16,3.617,True
SKU-0332,history,430.55,18.539,True
SKU-0333,guy,702.84,9.042,True
SKU-0334,usually,660.89,3.246,True
SKU-0335,difficult,325.66,20.677,True
SKU-0336,tell,758.52,19.926,True
SKU-0337,year,375.48,13.224,True
SKU-0338,plan,48.36,9.289,True
SKU-0339,form,946.7,19.22,False
SKU-0340,though,933.69,5.392,True
SKU-0341,consumer,907.38,0.764,True
SKU-0342,mission,445.66,8.029,False
SKU-0343,strategy,926.22,11.301,True
SKU-0344,near,527.45,8.051,False
SKU-0345,rise,523.6,13.426,False
SKU-0346,theory,641.16,24.464,False
SKU-0347,travel,387.19,4.451,True
SKU-0348,final,180.29,24.864,True
SKU-0349,time,889.05,1.102,True
SKU-0350,sense,679.5,24.397,False
SKU-0351,age,465.37,20.25,False
SKU-0352,memory,904.86,24.246,True
SKU-0353,your,882.44,12.1,True
SKU-0354,concern,425.24,7.734,False
SKU-0355,against,682.29,2.867,False
SKU-0356,wall,245.12,10.932,True
SKU-0357,probably,569.73,4.108,False
SKU-0358,heavy,377.93,10.555,True
SKU-0359,interview,664.54,11.458,True
SKU-0360,television,829.19,5.064,True
SKU-0361,any,2.34,21.859,True
SKU-0362,subject,385.31,16.924,True
SKU-0363,reduce,209.59,4.393,True
SKU-0364,edge,777.31,14.353,False
SKU-0365,minute,21.23,11.131,True
SKU-0366,interview,117.67,16.533,True
SKU-0367,sport,773.69,16.733,False
SKU-0368,according,169.63,6.619,False
SKU-0369,lose,716.54,10.511,True
SKU-0370,course,522.45,22.199,False
SKU-0371,these,920.24,24.81,False
SKU-0372,to,505.37,2.839,True
SKU-0373,statement,91.17,12.416,False
SKU-0374,feel,500.8,8.785,False
SKU-0375,early,419.69,5.462,False
SKU-0376,serve,99.29,13.776,True
SKU-0377,fear,182.14,20.998,True
SKU-0378,agree,990.49,9.476,True
SKU-0379,tough,960.9,18.87,False
SKU-0380,blood,987.18,16.499,True
SKU-0381,grow,622.06,4.419,False
SKU-0382,itself,554.56,18.632,False
SKU-0383,car,56.69,16.041,False
SKU-0384,with,836.98,20.971,False
SKU-0385,when,611.87,5.082,False
SKU-0386,feel,465.41,9.084,False
SKU-0387,us,455.12,16.829,False
SKU-0388,save,67.39,11.765,False
SKU-0389,short,32.68,14.99,False
SKU-0390,style,832.03,16.743,True
SKU-0391,but,104.56,5.593,False
SKU-0392,no,748.17,0.171,True
SKU-0393,letter,946.94,0.992,False
SKU-0394,professional,778.72,21.147,False
SKU-0395,red,667.97,2.47,True
SKU-0396,kitchen,194.91,11.026,True
SKU-0397,week,475.93,19.606,True
SKU-0398,player,855.1,10.873,True
SKU-0399,above,142.85,11.171,False
SKU-0400,marriage,923.32,7.428,True
SKU-0401,show,807.78,3.411,False
SKU-0402,against,544.74,11.122,True
SKU-0403,TV,744.37,5.735,False
SKU-0404,life,867.12,22.714,True
SKU-0405,wish,230.57,13.319,False
SKU-0406,ahead,288.36,2.069,True
SKU-0407,ability,66.69,18.483,True
SKU-0408,picture,453.14,24.868,False
SKU-0409,often,317.9,18.64,False
SKU-0410,area,296.5,14.834,True
SKU-0411,notice,250.93,23.169,True
SKU-0412,news,161.9,24.643,True
SKU-0413,you,87.59,20.676,False
SKU-0414,within,506.44,17.74,True
SKU-0415,send,17.21,18.647,True
SKU-0416,others,735.89,15.456,False
SKU-0417,where,965.24,11.05,False
SKU-0418,someone,636.14,16.028,False
SKU-0419,life,88.74,5.133,False
SKU-0420,human,331.67,18.434,False
SKU-0421,data,458.01,1.581,False
SKU-0422,leave,245.15,4.51,False
SKU-0423,program,970.89,20.647,True
SKU-0424,bar,252.84,7.919,False
SKU-0425,hard,210.27,7.665,False
SKU-0426,deal,842.13,7.813,False
SKU-0427,effort,925.72,7.441,False
SKU-0428,matter,614.69,4.07,False
SKU-0429,court,720.78,7.882,True
SKU-0430,today,286.58,24.219,True
SKU-0431,forward,842.84,11.38,True
SKU-0432,control,885.84,4.067,True
SKU-0433,good,386.18,5.115,True
SKU-0434,onto,674.07,11.738,False
SKU-0435,soon,273.44,16.98,False
SKU-0436,their,151.35,4.482,False
SKU-0437,participant,423.27,10.463,True
SKU-0438,story,406.03,1.267,True
SKU-0439,your,512.52,21.681,True
SKU-0440,during,224.72,16.627,True
SKU-0441,agreement,34.09,8.767,True
SKU-0442,impact,889.49,24.991,True
SKU-0443,opportunity,949.16,13.366,True
SKU-0444,that,833.26,4.162,False
SKU-0445,less,741.15,24.522,False
SKU-0446,nature,541.18,10.944,True
SKU-0447,else,85.91,10.292,False
SKU-0448,without,33.3,13.42,False
SKU-0449,head,889.13,22.672,True
SKU-0450,message,443.58,13.177,False
SKU-0451,door,719.28,16.598,False
SKU-0452,religious,311.81,23.573,True
SKU-0453,news,661.43,20.181,True
SKU-0454,leg,549.74,23.055,False
SKU-0455,notice,402.35,5.162,True
SKU-0456,maintain,792.31,23.581,False
SKU-0457,wall,139.35,11.727,True
SKU-0458,guess,551.72,9.009,True
SKU-0459,just,936.13,22.508,True
SKU-0460,institution,432.81,23.491,False
SKU-0461,girl,426.07,18.844,True
SKU-0462,campaign,739.11,18.132,False
SKU-0463,series,188.98,20.66,False
SKU-0464,social,811.63,23.354,False
SKU-0465,money,695.64,11.239,True
SKU-0466,computer,652.18,16.694,False
SKU-0467,develop,545.17,4.432,True
SKU-0468,many,473.96,5.347,False
SKU-0469,claim,415.94,8.462,False
SKU-0470,technology,998.33,7.012,False
SKU-0471,clearly,827.52,3.745,True
SKU-0472,performance,715.59,17.02,True
SKU-0473,last,848.23,20.932,False
SKU-0474,down,998.24,6.365,True
SKU-0475,issue,102.42,21.895,True
SKU-0476,network,113.48,6.28,False
SKU-0477,to,322.25,16.075,True
SKU-0478,something,428.97,9.795,True
SKU-0479,ten,700.3,14.434,True
SKU-0480,commercial,743.79,18.359,False
SKU-0481,garden,86.34,0.95,True
SKU-0482,performance,317.14,14.742,True
SKU-0483,pay,165.26,7.715,True
SKU-0484,last,160.14,3.565,False
SKU-0485,start,806.89,22.093,False
SKU-0486,mean,995.66,12.641,False
SKU-0487,partner,264.87,23.638,True
SKU-0488,treat,135.85,3.567,True
SKU-0489,decade,651.0,1.097,True
SKU-0490,same,65.87,1.892,False
SKU-0491,on,451.02,5.636,False
SKU-0492,pull,258.45,11.6,True
SKU-0493,my,516.96,13.613,False
SKU-0494,fall,126.47,16.531,False
SKU-0495,total,456.21,3.139,False
SKU-0496,view,724.68,16.806,True
SKU-0497,skill,135.34,8.001,True
SKU-0498,picture,66.14,13.656,False
SKU-0499,decade,405.32,21.33,True
SKU-0500,campaign,400.26,8.677,False
SKU-0501,consumer,780.76,0.265,False
SKU-0502,budget,237.97,5.125,False
SKU-0503,prepare,601.21,10.975,True
SKU-0504,model,45.12,16.009,True
SKU-0505,card,477.79,16.303,False
SKU-0506,serve,128.12,19.336,True
SKU-0507,water,478.66,5.395,False
SKU-0508,certain,690.75,4.941,False
SKU-0509,game,309.45,3.884,False
SKU-0510,indeed,567.27,4.354,False
SKU-0511,rest,614.9,7.22,True
SKU-0512,interest,488.89,16.418,True
SKU-0513,attack,977.31,0.543,True
SKU-0514,kitchen,194.29,15.206,False
SKU-0515,easy,811.95,7.721,True
SKU-0516,woman,390.87,21.77,False
SKU-0517,fast,631.41,7.075,True
SKU-0518,mind,409.04,12.109,False
SKU-0519,stand,138.05,12.326,False
SKU-0520,head,812.78,5.333,False
SKU-0521,speech,645.4,12.66,False
SKU-0522,young,996.29,2.952,True
SKU-0523,race,305.81,9.54,False
SKU-0524,heavy,116.58,13.472,True
SKU-0525,ability,9.21,1.416,False
SKU-0526,science,651.9,19.375,False
SKU-0527,arm,186.8,0.789,True
SKU-0528,newspaper,781.21,3.066,True
SKU-0529,course,691.71,2.234,False
SKU-0530,him,174.99,5.918,False
SKU-0531,water,241.99,8.269,True
SKU-0532,exist,291.99,6.396,False
SKU-0533,hospital,323.17,1.283,True
SKU-0534,work,98.31,16.562,False
SKU-0535,do,617.83,1.846,False
SKU-0536,son,771.77,24.975,True
SKU-0537,range,484.49,20.263,False
SKU-0538,really,816.77,2.001,True
SKU-0539,however,696.63,24.279,False
SKU-0540,nor,622.62,9.885,True
SKU-0541,sit,546.89,0.789,True
SKU-0542,change,378.87,23.729,False
SKU-0543,begin,575.33,2.166,True
SKU-0544,yeah,988.97,16.74,True
SKU-0545,support,71.48,14.064,False
SKU-0546,someone,848.0,13.789,False
SKU-0547,onto,262.62,5.585,False
SKU-0548,general,353.04,11.454,True
SKU-0549,financial,100.61,5.802,True
SKU-0550,girl,739.71,2.394,False
SKU-0551,behind,404.59,10.931,False
SKU-0552,reach,162.09,2.486,True
SKU-0553,real,56.84,19.047,True
SKU-0554,local,895.7,22.307,True
SKU-0555,eight,705.16,5.777,True
SKU-0556,fact,585.54,9.58,True
SKU-0557,sense,644.72,2.268,True
SKU-0558,city,712.75,15.277,False
SKU-0559,raise,142.42,12.299,True
SKU-0560,choose,639.85,23.944,True
SKU-0561,seat,16.75,9.402,True
SKU-0562,require,939.53,6.741,True
SKU-0563,a,53.92,8.92,False
SKU-0564,personal,923.79,24.757,True
SKU-0565,bring,227.23,18.743,False
SKU-0566,financial,569.65,24.227,True
SKU-0567,turn,67.66,16.218,True
SKU-0568,put,486.4,3.927,True
SKU-0569,less,249.88,8.364,True
SKU-0570,bank,995.29,3.49,False
SKU-0571,that,255.54,7.941,False
SKU-0572,including,489.55,0.096,True
SKU-0573,thousand,859.98,22.7,True
SKU-0574,magazine,742.27,20.659,True
SKU-0575,pattern,664.36,5.949,False
SKU-0576,leader,494.47,11.297,False
SKU-0577,according,286.19,8.749,False
SKU-0578,much,289.82,23.268,False
SKU-0579,certainly,230.48,4.249,True
SKU-0580,city,641.46,19.265,False
SKU-0581,song,275.23,21.381,True
SKU-0582,until,751.61,22.005,False
SKU-0583,current,455.36,24.206,True
SKU-0584,hope,743.44,5.299,True
SKU-0585,chance,185.58,19.102,True
SKU-0586,program,755.61,15.848,True
SKU-0587,able,262.93,8.725,False
SKU-0588,everybody,800.5,4.364,False
SKU-0589,employee,384.04,11.16,True
SKU-0590,free,239.01,16.848,False
SKU-0591,should,83.9,22.491,True
SKU-0592,official,142.95,23.916,False
SKU-0593,choose,306.29,7.472,False
SKU-0594,figure,975.49,11.189,True
SKU-0595,attention,731.04,20.573,False
SKU-0596,follow,63.84,11.319,True
SKU-0597,movie,963.61,21.396,False
SKU-0598,home,37.67,5.787,False
SKU-0599,bank,7.66,13.016,True
SKU-0600,and,807.64,13.626,True
SKU-0601,interest,601.68,24.817,True
SKU-0602,without,327.95,4.128,False
SKU-0603,themselves,360.1,4.08,False
SKU-0604,spend,870.99,3.623,False
SKU-0605,ok,534.22,14.614,True
SKU-0606,chair,716.89,10.464,False
SKU-0607,several,653.98,6.541,True
SKU-0608,worry,402.99,0.872,False
SKU-0609,teach,899.69,22.348,True
SKU-0610,wrong,603.76,2.115,True
SKU-0611,talk,670.72,0.863,True
SKU-0612,budget,301.37,12.764,True
SKU-0613,another,374.45,16.447,False
SKU-0614,individual,237.13,7.125,False
SKU-0615,technology,706.72,5.367,False
SKU-0616,board,189.24,8.067,False
SKU-0617,whether,741.73,24.329,False
SKU-0618,scene,341.94,9.705,True
SKU-0619,citizen,322.05,4.766,True
SKU-0620,certain,820.95,1.428,False
SKU-0621,father,838.55,23.015,True
SKU-0622,protect,895.51,23.772,False
SKU-0623,huge,573.19,3.706,True
SKU-0624,open,7.0,12.332,True
SKU-0625,rule,784.44,2.625,True
SKU-0626,improve,606.59,5.462,True
SKU-0627,and,27.48,10.177,True
SKU-0628,physical,732.24,12.09,False
SKU-0629,firm,505.78,2.23,False
SKU-0630,official,288.92,7.792,True
SKU-0631,early,583.89,0.612,True
SKU-0632,seek,451.59,14.305,True
SKU-0633,film,797.34,6.907,True
SKU-0634,again,960.52,18.518,True
SKU-0635,dream,851.01,4.035,True
SKU-0636,technology,323.22,17.423,False
SKU-0637,many,319.68,3.513,True
SKU-0638,town,938.07,21.975,False
SKU-0639,long,581.19,0.193,False
SKU-0640,hospital,413.07,1.002,True
SKU-0641,market,833.14,0.193,True
SKU-0642,their,361.92,19.114,True
SKU-0643,off,895.85,19.041,True
SKU-0644,Republican,506.49,22.515,True
SKU-0645,rise,735.69,16.471,False
SKU-0646,among,612.57,13.367,True
SKU-0647,investment,460.44,16.783,True
SKU-0648,owner,150.31,17.642,False
SKU-0649,important,230.21,6.527,False
SKU-0650,just,197.34,8.618,True
SKU-0651,simple,780.29,0.312,True
SKU-0652,likely,159.52,24.015,True
SKU-0653,matter,334.31,9.672,False
SKU-0654,factor,156.36,20.018,False
SKU-0655,wonder,244.98,5.29,False
SKU-0656,evening,812.98,1.318,True
SKU-0657,strategy,705.17,13.0,False
SKU-0658,wrong,96.84,23.541,False
SKU-0659,major,414.01,22.512,True
SKU-0660,the,212.21,17.312,False
SKU-0661,board,133.83,2.461,True
SKU-0662,community,815.81,12.847,False
SKU-0663,ability,383.29,2.881,True
SKU-0664,idea,335.13,24.815,False
SKU-0665,myself,543.63,19.037,False
SKU-0666,my,605.94,10.435,False
SKU-0667,hand,676.97,10.409,True
SKU-0668,good,602.44,7.652,False
SKU-0669,mission,376.62,22.176,True
SKU-0670,fish,330.18,0.596,True
SKU-0671,less,977.56,11.764,True
SKU-0672,him,455.2,14.617,False
SKU-0673,finish,383.87,4.482,True
SKU-0674,certainly,215.76,11.978,False
SKU-0675,open,48.61,2.756,True
SKU-0676,huge,140.39,7.242,True
SKU-0677,after,685.56,10.827,True
SKU-0678,energy,996.27,0.784,False
SKU-0679,south,782.72,0.566,False
SKU-0680,keep,91.01,2.199,True
SKU-0681,agreement,750.44,16.267,False
SKU-0682,approach,958.11,15.242,False
SKU-0683,data,969.72,22.556,False
SKU-0684,body,524.68,18.862,True
SKU-0685,probably,338.29,18.708,True
SKU-0686,heavy,437.03,22.891,False
SKU-0687,talk,590.0,23.005,False
SKU-0688,player,233.43,11.121,True
SKU-0689,grow,863.39,20.899,False
SKU-0690,save,214.76,17.438,True
SKU-0691,trip,515.57,19.508,True
SKU-0692,defense,268.84,14.981,True
SKU-0693,care,403.82,14.93,True
SKU-0694,process,48.08,13.662,True
SKU-0695,our,141.62,13.542,True
SKU-0696,how,766.49,18.409,False
SKU-0697,beyond,611.77,8.777,True
SKU-0698,exist,495.16,9.985,True
SKU-0699,air,699.39,23.295,True
SKU-0700,involve,426.18,12.156,True
SKU-0701,feeling,71.72,21.305,True
SKU-0702,stock,552.77,1.474,True
SKU-0703,view,813.62,9.759,False
SKU-0704,population,468.18,12.99,False
SKU-0705,hear,482.02,20.744,True
SKU-0706,help,111.73,7.957,False
SKU-0707,may,234.54,13.045,True
SKU-0708,including,987.76,14.044,False
SKU-0709,whole,861.73,18.305,False
SKU-0710,try,829.69,15.777,False
