id	order_id	product_sku	quantity	line_note
ITM-00000050	ORD-001019	SKU-0052	2	2 x SKU-0052
ITM-00000051	ORD-001019	SKU-0071	5	5 x SKU-0071
ITM-00000052	ORD-001020	SKU-0070	2	2 x SKU-0070
ITM-00000053	ORD-001020	SKU-0002	5	5 x SKU-0002
ITM-00000054	ORD-001020	SKU-0049	3	3 x SKU-0049
ITM-00000055	ORD-001020	SKU-0003	5	5 x SKU-0003
ITM-00000056	ORD-001021	SKU-0062	5	5 x SKU-0062
ITM-00000057	ORD-001021	SKU-0027	5	5 x SKU-0027
ITM-00000058	ORD-001021	SKU-0050	3	3 x SKU-0050
ITM-00000059	ORD-001021	SKU-0056	2	2 x SKU-0056
ITM-00000060	ORD-001022	SKU-0022	1	1 x SKU-0022
ITM-00000061	ORD-001022	SKU-0002	3	3 x SKU-0002
ITM-00000062	ORD-001023	SKU-0063	2	2 x SKU-0063
ITM-00000063	ORD-001024	SKU-0068	4	4 x SKU-0068
ITM-00000064	ORD-001024	SKU-0078	5	5 x SKU-0078
ITM-00000065	ORD-001025	SKU-0064	3	3 x SKU-0064
ITM-00000066	ORD-001026	SKU-0001	3	3 x SKU-0001
ITM-00000067	ORD-001027	SKU-0075	5	5 x SKU-0075
ITM-00000068	ORD-001027	SKU-0051	3	3 x SKU-0051
ITM-00000069	ORD-001027	SKU-0054	4	4 x SKU-0054
ITM-00000070	ORD-001027	SKU-0006	5	5 x SKU-0006
ITM-00000071	ORD-001028	SKU-0025	4	4 x SKU-0025
ITM-00000072	ORD-001029	SKU-0059	3	3 x SKU-0059
ITM-00000073	ORD-001029	SKU-0067	4	4 x SKU-0067
ITM-00000074	ORD-001029	SKU-0020	5	5 x SKU-0020
ITM-00000075	ORD-001030	SKU-0024	1	1 x SKU-0024
ITM-00000076	ORD-001030	SKU-0004	1	1 x SKU-0004
ITM-00000077	ORD-001030	SKU-0028	2	2 x SKU-0028
ITM-00000078	ORD-001031	SKU-0048	4	4 x SKU-0048
ITM-00000079	ORD-001031	SKU-0070	4	4 x SKU-0070
ITM-00000080	ORD-001031	SKU-0062	5	5 x SKU-0062
ITM-00000081	ORD-001031	SKU-0029	3	3 x SKU-0029
ITM-00000082	ORD-001032	SKU-0007	5	5 x SKU-0007
ITM-00000083	ORD-001032	SKU-0076	2	2 x SKU-0076
ITM-00000084	ORD-001032	SKU-0063	4	4 x SKU-0063
ITM-00000085	ORD-001033	SKU-0045	1	1 x SKU-0045
ITM-00000086	ORD-001033	SKU-0004	5	5 x SKU-0004
ITM-00000087	ORD-001034	SKU-0068	3	3 x SKU-0068
ITM-00000088	ORD-001034	SKU-0079	2	2 x SKU-0079
ITM-00000089	ORD-001034	SKU-0041	5	5 x SKU-0041
ITM-00000090	ORD-001034	SKU-0001	2	2 x SKU-0001
ITM-00000091	ORD-001035	SKU-0038	4	4 x SKU-0038
ITM-00000092	ORD-001035	SKU-0042	2	2 x SKU-0042
ITM-00000093	ORD-001035	SKU-0064	3	3 x SKU-0064
ITM-00000094	ORD-001035	SKU-0033	4	4 x SKU-0033
ITM-00000095	ORD-001036	SKU-0004	2	2 x SKU-0004
ITM-00000096	ORD-001036	SKU-0029	2	2 x SKU-0029
ITM-00000097	ORD-001037	SKU-0063	2	2 x SKU-0063
ITM-00000098	ORD-001037	SKU-0034	5	5 x SKU-0034
ITM-00000099	ORD-001037	SKU-0045	2	2 x SKU-0045
ITM-00000100	ORD-001037	SKU-0029	5	5 x SKU-0029
ITM-00000101	ORD-001038	SKU-0062	1	1 x SKU-0062
ITM-00000102	ORD-001039	SKU-0015	1	1 x SKU-0015
ITM-00000103	ORD-001039	SKU-0033	1	1 x SKU-0033
ITM-00000104	ORD-001040	SKU-0005	2	2 x SKU-0005
ITM-00000105	ORD-001040	SKU-0019	3	3 x SKU-0019
ITM-00000106	ORD-001040	SKU-0019	4	4 x SKU-0019
ITM-00000107	ORD-001040	SKU-0056	2	2 x SKU-0056
ITM-00000108	ORD-001041	SKU-0072	1	1 x SKU-0072
ITM-00000109	ORD-001041	SKU-0018	2	2 x SKU-0018
ITM-00000110	ORD-001041	SKU-0062	5	5 x SKU-0062
ITM-00000111	ORD-001041	SKU-0066	4	4 x SKU-0066
ITM-00000112	ORD-001042	SKU-0056	4	4 x SKU-0056
ITM-00000113	ORD-001042	SKU-0063	4	4 x SKU-0063
ITM-00000114	ORD-001042	SKU-0060	5	5 x SKU-0060
ITM-00000115	ORD-001043	SKU-0077	4	4 x SKU-0077
ITM-00000116	ORD-001043	SKU-0033	2	2 x SKU-0033
ITM-00000117	ORD-001043	SKU-0025	4	4 x SKU-0025
ITM-00000118	ORD-001044	SKU-0042	2	2 x SKU-0042
ITM-00000119	ORD-001045	SKU-0010	2	2 x SKU-0010
ITM-00000120	ORD-001045	SKU-0058	5	5 x SKU-0058
ITM-00000121	ORD-001046	SKU-0016	3	3 x SKU-0016
ITM-00000122	ORD-001046	SKU-0027	1	1 x SKU-0027
ITM-00000123	ORD-001046	SKU-0022	4	4 x SKU-0022
ITM-00000124	ORD-001047	SKU-0062	4	4 x SKU-0062
ITM-00000125	ORD-001047	SKU-0007	4	4 x SKU-0007
ITM-00000126	ORD-001047	SKU-0023	4	4 x SKU-0023
ITM-00000127	ORD-001047	SKU-0036	4	4 x SKU-0036
ITM-00000128	ORD-001048	SKU-0034	2	2 x SKU-0034
ITM-00000129	ORD-001048	SKU-0077	4	4 x SKU-0077
ITM-00000130	ORD-001048	SKU-0050	5	5 x SKU-0050
ITM-00000131	ORD-001049	SKU-0038	2	2 x SKU-0038
ITM-00000132	ORD-001049	SKU-0076	3	3 x SKU-0076
ITM-00000133	ORD-001050	SKU-0015	5	5 x SKU-0015
ITM-00000134	ORD-001050	SKU-0009	2	2 x SKU-0009
ITM-00000135	ORD-001050	SKU-0072	1	1 x SKU-0072
ITM-00000136	ORD-001050	SKU-0044	2	2 x SKU-0044
ITM-00000137	ORD-001051	SKU-0063	3	3 x SKU-0063
ITM-00000138	ORD-001051	SKU-0078	2	2 x SKU-0078
ITM-00000139	ORD-001051	SKU-0035	1	1 x SKU-0035
ITM-00000140	ORD-001051	SKU-0076	2	2 x SKU-0076
ITM-00000141	ORD-001052	SKU-0009	5	5 x SKU-0009
ITM-00000142	ORD-001052	SKU-0067	1	1 x SKU-0067
ITM-00000143	ORD-001052	SKU-0007	2	2 x SKU-0007
ITM-00000144	ORD-001053	SKU-0014	5	5 x SKU-0014
ITM-00000145	ORD-001053	SKU-0071	5	5 x SKU-0071
ITM-00000146	ORD-001053	SKU-0035	4	4 x SKU-0035
ITM-00000147	ORD-001054	SKU-0027	5	5 x SKU-0027
ITM-00000148	ORD-001055	SKU-0060	2	2 x SKU-0060
ITM-00000149	ORD-001056	SKU-0077	3	3 x SKU-0077
ITM-00000150	ORD-001056	SKU-0049	4	4 x SKU-0049
ITM-00000151	ORD-001056	SKU-0012	5	5 x SKU-0012
ITM-00000152	ORD-001057	SKU-0026	1	1 x SKU-0026
ITM-00000153	ORD-001057	SKU-0025	5	5 x SKU-0025
ITM-00000154	ORD-001057	SKU-0051	2	2 x SKU-0051
ITM-00000155	ORD-001058	SKU-0033	3	3 x SKU-0033
ITM-00000156	ORD-001059	SKU-0072	5	5 x SKU-0072
ITM-00000157	ORD-001060	SKU-0019	3	3 x SKU-0019
ITM-00000158	ORD-001060	SKU-0019	2	2 x SKU-0019
ITM-00000159	ORD-001060	SKU-0053	5	5 x SKU-0053
ITM-00000160	ORD-001061	SKU-0064	5	5 x SKU-0064
ITM-00000161	ORD-001061	SKU-0004	2	2 x SKU-0004
ITM-00000162	ORD-001061	SKU-0079	3	3 x SKU-0079
ITM-00000163	ORD-001061	SKU-0055	2	2 x SKU-0055
ITM-00000164	ORD-001062	SKU-0062	4	4 x SKU-0062
ITM-00000165	ORD-001062	SKU-0046	2	2 x SKU-0046
ITM-00000166	ORD-001062	SKU-0010	3	3 x SKU-0010
ITM-00000167	ORD-001063	SKU-0037	3	3 x SKU-0037
ITM-00000168	ORD-001063	SKU-0056	1	1 x SKU-0056
ITM-00000169	ORD-001064	SKU-0067	1	1 x SKU-0067
ITM-00000170	ORD-001064	SKU-0045	4	4 x SKU-0045
ITM-00000171	ORD-001064	SKU-0039	5	5 x SKU-0039
ITM-00000172	ORD-001065	SKU-0027	1	1 x SKU-0027
ITM-00000173	ORD-001066	SKU-0048	1	1 x SKU-0048
ITM-00000174	ORD-001066	SKU-0001	2	2 x SKU-0001
ITM-00000175	ORD-001067	SKU-0018	4	4 x SKU-0018
ITM-00000176	ORD-001067	SKU-0024	1	1 x SKU-0024
ITM-00000177	ORD-001067	SKU-0017	2	2 x SKU-0017
ITM-00000178	ORD-001068	SKU-0008	2	2 x SKU-0008
ITM-00000179	ORD-001068	SKU-0068	5	5 x SKU-0068
ITM-00000180	ORD-001069	SKU-0044	3	3 x SKU-0044
ITM-00000181	ORD-001069	SKU-0052	2	2 x SKU-0052
ITM-00000182	ORD-001069	SKU-0042	2	2 x SKU-0042
ITM-00000183	ORD-001069	SKU-0078	3	3 x SKU-0078
ITM-00000184	ORD-001070	SKU-0054	3	3 x SKU-0054
ITM-00000185	ORD-001070	SKU-0043	1	1 x SKU-0043
ITM-00000186	ORD-001070	SKU-0068	5	5 x SKU-0068
ITM-00000187	ORD-001070	SKU-0009	4	4 x SKU-0009
ITM-00000188	ORD-001071	SKU-0029	2	2 x SKU-0029
ITM-00000189	ORD-001071	SKU-0051	2	2 x SKU-0051
ITM-00000190	ORD-001071	SKU-0025	3	3 x SKU-0025
ITM-00000191	ORD-001072	SKU-0077	4	4 x SKU-0077
ITM-00000192	ORD-001072	SKU-0054	2	2 x SKU-0054
ITM-00000193	ORD-001072	SKU-0065	2	2 x SKU-0065
ITM-00000194	ORD-001072	SKU-0077	3	3 x SKU-0077
ITM-00000195	ORD-001073	SKU-0078	1	1 x SKU-0078
ITM-00000196	ORD-001074	SKU-0035	4	4 x SKU-0035
ITM-00000197	ORD-001074	SKU-0011	5	5 x SKU-0011
ITM-00000198	ORD-001074	SKU-0014	1	1 x SKU-0014
ITM-00000199	ORD-001075	SKU-0030	3	3 x SKU-0030
ITM-00000200	ORD-001076	SKU-0072	3	3 x SKU-0072
ITM-00000201	ORD-001076	SKU-0036	1	1 x SKU-0036
ITM-00000202	ORD-001076	SKU-0031	2	2 x SKU-0031
ITM-00000203	ORD-001076	SKU-0022	3	3 x SKU-0022
ITM-00000204	ORD-001077	SKU-0065	2	2 x SKU-0065
ITM-00000205	ORD-001077	SKU-0004	2	2 x SKU-0004
ITM-00000206	ORD-001078	SKU-0060	3	3 x SKU-0060
ITM-00000207	ORD-001078	SKU-0023	1	1 x SKU-0023
ITM-00000208	ORD-001079	SKU-0029	1	1 x SKU-0029
ITM-00000209	ORD-001079	SKU-0024	4	4 x SKU-0024
ITM-00000210	ORD-001079	SKU-0046	5	5 x SKU-0046
ITM-00000211	ORD-001080	SKU-0060	3	3 x SKU-0060
ITM-00000212	ORD-001080	SKU-0016	1	1 x SKU-0016
ITM-00000213	ORD-001080	SKU-0047	5	5 x SKU-0047
ITM-00000214	ORD-001080	SKU-0020	3	3 x SKU-0020
ITM-00000215	ORD-001081	SKU-0028	1	1 x SKU-0028
ITM-00000216	ORD-001081	SKU-0057	4	4 x SKU-0057
ITM-00000217	ORD-001081	SKU-0027	5	5 x SKU-0027
ITM-00000218	ORD-001081	SKU-0040	1	1 x SKU-0040
ITM-00000219	ORD-001082	SKU-0040	5	5 x SKU-0040
ITM-00000220	ORD-001082	SKU-0024	4	4 x SKU-0024
ITM-00000221	ORD-001082	SKU-0006	4	4 x SKU-0006
ITM-00000222	ORD-001082	SKU-0041	4	4 x SKU-0041
ITM-00000223	ORD-001083	SKU-0049	4	4 x SKU-0049
ITM-00000224	ORD-001083	SKU-0052	3	3 x SKU-0052
ITM-00000225	ORD-001083	SKU-0073	2	2 x SKU-0073
ITM-00000226	ORD-001084	SKU-0029	2	2 x SKU-0029
ITM-00000227	ORD-001084	SKU-0056	1	1 x SKU-0056
ITM-00000228	ORD-001084	SKU-0028	5	5 x SKU-0028
ITM-00000229	ORD-001085	SKU-0039	1	1 x SKU-0039
ITM-00000230	ORD-001085	SKU-0043	4	4 x SKU-0043
ITM-00000231	ORD-001085	SKU-0075	3	3 x SKU-0075
ITM-00000232	ORD-001085	SKU-0038	5	5 x SKU-0038
ITM-00000233	ORD-001086	SKU-0072	4	4 x SKU-0072
ITM-00000234	ORD-001086	SKU-0067	5	5 x SKU-0067
ITM-00000235	ORD-001086	SKU-0080	2	2 x SKU-0080
ITM-00000236	ORD-001087	SKU-0069	2	2 x SKU-0069
ITM-00000237	ORD-001088	SKU-0045	1	1 x SKU-0045
ITM-00000238	ORD-001089	SKU-0039	4	4 x SKU-0039
ITM-00000239	ORD-001090	SKU-0028	2	2 x SKU-0028
ITM-00000240	ORD-001090	SKU-0037	1	1 x SKU-0037
ITM-00000241	ORD-001091	SKU-0079	5	5 x SKU-0079
ITM-00000242	ORD-001091	SKU-0048	4	4 x SKU-0048
ITM-00000243	ORD-001091	SKU-0012	3	3 x SKU-0012
ITM-00000244	ORD-001092	SKU-0002	3	3 x SKU-0002
ITM-00000245	ORD-001092	SKU-0015	2	2 x SKU-0015
ITM-00000246	ORD-001092	SKU-0001	3	3 x SKU-0001
ITM-00000247	ORD-001092	SKU-0006	3	3 x SKU-0006
ITM-00000248	ORD-001093	SKU-0064	1	1 x SKU-0064
ITM-00000249	ORD-001093	SKU-0061	5	5 x SKU-0061
ITM-00000250	ORD-001094	SKU-0003	1	1 x SKU-0003
ITM-00000251	ORD-001094	SKU-0076	1	1 x SKU-0076
ITM-00000252	ORD-001094	SKU-0042	5	5 x SKU-0042
ITM-00000253	ORD-001094	SKU-0041	1	1 x SKU-0041
ITM-00000254	ORD-001095	SKU-0067	1	1 x SKU-0067
ITM-00000255	ORD-001095	SKU-0031	1	1 x SKU-0031
ITM-00000256	ORD-001096	SKU-0014	3	3 x SKU-0014
ITM-00000257	ORD-001096	SKU-0040	2	2 x SKU-0040
ITM-00000258	ORD-001097	SKU-0012	2	2 x SKU-0012
ITM-00000259	ORD-001098	SKU-0007	2	2 x SKU-0007
ITM-00000260	ORD-001099	SKU-0030	4	4 x SKU-0030
ITM-00000261	ORD-001100	SKU-0053	5	5 x SKU-0053
ITM-00000262	ORD-001100	SKU-0047	5	5 x SKU-0047
ITM-00000263	ORD-001100	SKU-0014	1	1 x SKU-0014
ITM-00000264	ORD-001100	SKU-0066	5	5 x SKU-0066
ITM-00000265	ORD-001101	SKU-0060	2	2 x SKU-0060
ITM-00000266	ORD-001102	SKU-0001	2	2 x SKU-0001
ITM-00000267	ORD-001102	SKU-0021	1	1 x SKU-0021
ITM-00000268	ORD-001103	SKU-0008	1	1 x SKU-0008
ITM-00000269	ORD-001103	SKU-0040	1	1 x SKU-0040
ITM-00000270	ORD-001103	SKU-0032	2	2 x SKU-0032
ITM-00000271	ORD-001104	SKU-0006	4	4 x SKU-0006
ITM-00000272	ORD-001104	SKU-0064	3	3 x SKU-0064
ITM-00000273	ORD-001104	SKU-0063	3	3 x SKU-0063
ITM-00000274	ORD-001104	SKU-0009	4	4 x SKU-0009
ITM-00000275	ORD-001105	SKU-0049	1	1 x SKU-0049
ITM-00000276	ORD-001106	SKU-0011	3	3 x SKU-0011
ITM-00000277	ORD-001106	SKU-0075	3	3 x SKU-0075
ITM-00000278	ORD-001106	SKU-0042	5	5 x SKU-0042
ITM-00000279	ORD-001106	SKU-0056	5	5 x SKU-0056
ITM-00000280	ORD-001107	SKU-0069	1	1 x SKU-0069
ITM-00000281	ORD-001107	SKU-0037	5	5 x SKU-0037
ITM-00000282	ORD-001107	SKU-0069	1	1 x SKU-0069
ITM-00000283	ORD-001107	SKU-0009	4	4 x SKU-0009
ITM-00000284	ORD-001108	SKU-0024	4	4 x SKU-0024
ITM-00000285	ORD-001108	SKU-0024	3	3 x SKU-0024
ITM-00000286	ORD-001108	SKU-0037	5	5 x SKU-0037
ITM-00000287	ORD-001109	SKU-0072	2	2 x SKU-0072
ITM-00000288	ORD-001109	SKU-0016	5	5 x SKU-0016
ITM-00000289	ORD-001109	SKU-0004	1	1 x SKU-0004
ITM-00000290	ORD-001109	SKU-0044	5	5 x SKU-0044
ITM-00000291	ORD-001110	SKU-0052	5	5 x SKU-0052
ITM-00000292	ORD-001110	SKU-0020	1	1 x SKU-0020
ITM-00000293	ORD-001111	SKU-0071	3	3 x SKU-0071
ITM-00000294	ORD-001111	SKU-0052	4	4 x SKU-0052
ITM-00000295	ORD-001112	SKU-0043	1	1 x SKU-0043
ITM-00000296	ORD-001112	SKU-0046	5	5 x SKU-0046
ITM-00000297	ORD-001112	SKU-0068	2	2 x SKU-0068
ITM-00000298	ORD-001113	SKU-0070	2	2 x SKU-0070
ITM-00000299	ORD-001113	SKU-0065	4	4 x SKU-0065
ITM-00000300	ORD-001114	SKU-0031	3	3 x SKU-0031
ITM-00000301	ORD-001115	SKU-0079	5	5 x SKU-0079
ITM-00000302	ORD-001115	SKU-0013	2	2 x SKU-0013
ITM-00000303	ORD-001115	SKU-0064	4	4 x SKU-0064
ITM-00000304	ORD-001115	SKU-0050	4	4 x SKU-0050
ITM-00000305	ORD-001116	SKU-0043	5	5 x SKU-0043
ITM-00000306	ORD-001116	SKU-0016	1	1 x SKU-0016
ITM-00000307	ORD-001116	SKU-0079	5	5 x SKU-0079
ITM-00000308	ORD-001117	SKU-0020	5	5 x SKU-0020
ITM-00000309	ORD-001118	SKU-0062	1	1 x SKU-0062
ITM-00000310	ORD-001118	SKU-0072	1	1 x SKU-0072
ITM-00000311	ORD-001119	SKU-0075	4	4 x SKU-0075
ITM-00000312	ORD-001120	SKU-0004	1	1 x SKU-0004
ITM-00000313	ORD-001120	SKU-0021	3	3 x SKU-0021
ITM-00000314	ORD-001120	SKU-0041	4	4 x SKU-0041
ITM-00000315	ORD-001120	SKU-0060	4	4 x SKU-0060
ITM-00000316	ORD-001121	SKU-0019	4	4 x SKU-0019
ITM-00000317	ORD-001121	SKU-0030	3	3 x SKU-0030
ITM-00000318	ORD-001121	SKU-0032	4	4 x SKU-0032
ITM-00000319	ORD-001121	SKU-0079	1	1 x SKU-0079
ITM-00000320	ORD-001122	SKU-0054	1	1 x SKU-0054
ITM-00000321	ORD-001122	SKU-0005	5	5 x SKU-0005
ITM-00000322	ORD-001123	SKU-0062	4	4 x SKU-0062
ITM-00000323	ORD-001123	SKU-0032	1	1 x SKU-0032
ITM-00000324	ORD-001124	SKU-0033	2	2 x SKU-0033
ITM-00000325	ORD-001124	SKU-0009	5	5 x SKU-0009
ITM-00000326	ORD-001124	SKU-0030	4	4 x SKU-0030
ITM-00000327	ORD-001125	SKU-0002	3	3 x SKU-0002
ITM-00000328	ORD-001125	SKU-0046	3	3 x SKU-0046
ITM-00000329	ORD-001126	SKU-0003	1	1 x SKU-0003
ITM-00000330	ORD-001126	SKU-0044	3	3 x SKU-0044
ITM-00000331	ORD-001126	SKU-0050	4	4 x SKU-0050
ITM-00000332	ORD-001127	SKU-0076	1	1 x SKU-0076
ITM-00000333	ORD-001127	SKU-0034	4	4 x SKU-0034
ITM-00000334	ORD-001128	SKU-0066	5	5 x SKU-0066
ITM-00000335	ORD-001128	SKU-0020	5	5 x SKU-0020
ITM-00000336	ORD-001128	SKU-0042	3	3 x SKU-0042
ITM-00000337	ORD-001129	SKU-0074	2	2 x SKU-0074
ITM-00000338	ORD-001130	SKU-0071	2	2 x SKU-0071
ITM-00000339	ORD-001130	SKU-0004	2	2 x SKU-0004
ITM-00000340	ORD-001130	SKU-0062	2	2 x SKU-0062
ITM-00000341	ORD-001131	SKU-0071	4	4 x SKU-0071
ITM-00000342	ORD-001132	SKU-0004	3	3 x SKU-0004
ITM-00000343	ORD-001133	SKU-0047	2	2 x SKU-0047
ITM-00000344	ORD-001133	SKU-0012	5	5 x SKU-0012
ITM-00000345	ORD-001133	SKU-0019	1	1 x SKU-0019
ITM-00000346	ORD-001134	SKU-0010	1	1 x SKU-0010
ITM-00000347	ORD-001135	SKU-0066	2	2 x SKU-0066
ITM-00000348	ORD-001135	SKU-0006	2	2 x SKU-0006
ITM-00000349	ORD-001135	SKU-0004	3	3 x SKU-0004
ITM-00000350	ORD-001135	SKU-0075	4	4 x SKU-0075
ITM-00000351	ORD-001136	SKU-0061	2	2 x SKU-0061
ITM-00000352	ORD-001136	SKU-0038	2	2 x SKU-0038
ITM-00000353	ORD-001137	SKU-0071	2	2 x SKU-0071
ITM-00000354	ORD-001137	SKU-0040	3	3 x SKU-0040
ITM-00000355	ORD-001137	SKU-0056	1	1 x SKU-0056
ITM-00000356	ORD-001137	SKU-0065	4	4 x SKU-0065
ITM-00000357	ORD-001138	SKU-0026	4	4 x SKU-0026
ITM-00000358	ORD-001138	SKU-0062	3	3 x SKU-0062
ITM-00000359	ORD-001138	SKU-0080	3	3 x SKU-0080
ITM-00000360	ORD-001138	SKU-0026	2	2 x SKU-0026
ITM-00000361	ORD-001139	SKU-0031	4	4 x SKU-0031
ITM-00000362	ORD-001139	SKU-0044	4	4 x SKU-0044
ITM-00000363	ORD-001139	SKU-0013	2	2 x SKU-0013
ITM-00000364	ORD-001139	SKU-0039	1	1 x SKU-0039
ITM-00000365	ORD-001140	SKU-0056	1	1 x SKU-0056
ITM-00000366	ORD-001140	SKU-0014	3	3 x SKU-0014
ITM-00000367	ORD-001140	SKU-0073	3	3 x SKU-0073
ITM-00000368	ORD-001141	SKU-0064	5	5 x SKU-0064
ITM-00000369	ORD-001142	SKU-0065	1	1 x SKU-0065
ITM-00000370	ORD-001143	SKU-0071	2	2 x SKU-0071
ITM-00000371	ORD-001143	SKU-0003	3	3 x SKU-0003
ITM-00000372	ORD-001143	SKU-0070	5	5 x SKU-0070
ITM-00000373	ORD-001144	SKU-0029	4	4 x SKU-0029
ITM-00000374	ORD-001145	SKU-0052	4	4 x SKU-0052
ITM-00000375	ORD-001145	SKU-0048	2	2 x SKU-0048
ITM-00000376	ORD-001146	SKU-0026	3	3 x SKU-0026
ITM-00000377	ORD-001147	SKU-0042	4	4 x SKU-0042
ITM-00000378	ORD-001147	SKU-0030	4	4 x SKU-0030
ITM-00000379	ORD-001147	SKU-0057	1	1 x SKU-0057
ITM-00000380	ORD-001148	SKU-0005	1	1 x SKU-0005
ITM-00000381	ORD-001148	SKU-0056	5	5 x SKU-0056
ITM-00000382	ORD-001148	SKU-0068	3	3 x SKU-0068
ITM-00000383	ORD-001149	SKU-0041	5	5 x SKU-0041
ITM-00000384	ORD-001150	SKU-0077	4	4 x SKU-0077
ITM-00000385	ORD-001151	SKU-0005	1	1 x SKU-0005
ITM-00000386	ORD-001151	SKU-0023	3	3 x SKU-0023
ITM-00000387	ORD-001151	SKU-0045	3	3 x SKU-0045
ITM-00000388	ORD-001151	SKU-0052	4	4 x SKU-0052
ITM-00000389	ORD-001152	SKU-0048	2	2 x SKU-0048
ITM-00000390	ORD-001153	SKU-0071	5	5 x SKU-0071
ITM-00000391	ORD-001153	SKU-0058	1	1 x SKU-0058
ITM-00000392	ORD-001153	SKU-0032	2	2 x SKU-0032
ITM-00000393	ORD-001154	SKU-0001	3	3 x SKU-0001
ITM-00000394	ORD-001154	SKU-0035	2	2 x SKU-0035
ITM-00000395	ORD-001154	SKU-0058	5	5 x SKU-0058
ITM-00000396	ORD-001154	SKU-0034	2	2 x SKU-0034
ITM-00000397	ORD-001155	SKU-0012	4	4 x SKU-0012
ITM-00000398	ORD-001155	SKU-0057	1	1 x SKU-0057
ITM-00000399	ORD-001155	SKU-0012	3	3 x SKU-0012
ITM-00000400	ORD-001155	SKU-0069	4	4 x SKU-0069
ITM-00000401	ORD-001156	SKU-0009	3	3 x SKU-0009
ITM-00000402	ORD-001156	SKU-0058	5	5 x SKU-0058
ITM-00000403	ORD-001156	SKU-0044	5	5 x SKU-0044
ITM-00000404	ORD-001156	SKU-0051	5	5 x SKU-0051
ITM-00000405	ORD-001157	SKU-0032	1	1 x SKU-0032
ITM-00000406	ORD-001158	SKU-0023	1	1 x SKU-0023
ITM-00000407	ORD-001159	SKU-0046	2	2 x SKU-0046
ITM-00000408	ORD-001159	SKU-0075	1	1 x SKU-0075
ITM-00000409	ORD-001160	SKU-0030	2	2 x SKU-0030
ITM-00000410	ORD-001160	SKU-0070	2	2 x SKU-0070
